Estação,Nome da Rede,Sigla da rede,Ano,Lat,Long,Alt,Localidade,Estado,Sensor,Tipo BB SP,S/N Sensor,DAS,S/N DAS,SPS,Ganho,Data Início Greg,Data Fim Greg,Data Inicio Jul,Data Fim Jul,Observações,Ativa
NBIT,RSISNE,NB,2011,"-14,930689","-39,434579",188,Itapé,BA,Sismômetro Periodo Curto Tri-axial PMD Scientific LNG 203 e Acelerômetro Tri-axial REF TEK 131 A 02/3,SP e Acel,10765 e 334,REF TEK 130-GSN,ACFA,100,1 e 1,20230722,,2023203,#VALUE!,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8247. Painel Solar: S/N 2033,Sim
NBJA,RSISNE,NB,2023,"-13,494694","-44,268469",466,"José Alves, Jaborandi",BA,Sismômetro Período Curto Tri-axial Sprengnether,SP,11103,REF TEK 130-GSN,ACF8,100,1,20230624,20240517,2023175,2024138,Antena de GPS Garmin S/N:8031,Sim
NBJCA,RSISNE,NB,2021,"-5,535989","-35,818554",159,"escola Estadual Francisco de Assis Bittencourt, João Câmara",RN,Sismômetro Período Curto Tri-axial Lennartz LE-3Dlite MKII 1Hz,SP,570,REFTEK 130-GSN,D16E,100,1,20210621,20220713,2021172,2022194,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N  8205. Painel solar: Kyocera KC50T S/N 08Y5AH2-38,Não
NBJCA,RSISNE,NB,2021,"-5,535989","-35,818554",159,"escola Estadual Francisco de Assis Bittencourt, João Câmara",RN,Sismômetro Período Curto Tri-axial PMD Scientific LNG203,SP,10763,REFTEK 130-GSN,D16E,100,1,20220713,20220915,2022194,2022258,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N  8205. Painel solar: Kyocera KC50T S/N 08Y5AH2-38,Não
NBJCA,RSISNE,NB,2021,"-5,535989","-35,818554",159,"escola Estadual Francisco de Assis Bittencourt, João Câmara",RN,Sismômetro Período Curto Tri-axial PMD Scientific LNG203,SP,10766,REFTEK 130-GSN,D16E,100,1,20220915,,2022258,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N  8205. Painel solar: Kyocera KC50T S/N 08Y5AH2-38,Sim
NBJG,RSISNE,NB,2023,"-9,873057","-39,901877",488,"Pilar, Jaguarari",BA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1314,REFTEK 130-GSN,ACA9,100,1,20230906,,2023249,#VALUE!,GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8205,Sim
NBLA,RSISNE,NB,2011,"-10,99255","-37,788972",196,Lagarto,SE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09158 e 346,REF TEK 130-GSN,ACF9,100,1 e 1,20130219,,2013050,#VALUE!,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8247. Painel solar:S/N 204   KYOCERA MC50T,Sim
NBLGR,RSISNE,NB,2022,"-5,619879","-35,788782",161,"Ladeira Grande, João Câmara",RN,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1314,REFTEK 130-GSN,AD2D,100,1,20201023,20230905,2020297,2023248,GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8248,Não
NBLGR,RSISNE,NB,2022,"-5,619879","-35,788782",161,"Ladeira Grande, João Câmara",RN,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A,BB,G09199,REFTEK 130-GSN,AD2D,100,1,20230905,,2023248,#VALUE!,GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8248,Sim
NBLI,RSISNE,NB,2011,"-7,3645","-36,9498",612,Livramento,PB,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09212 e 345,REF TEK 130-GSN,ACA9,100,1 e 1,20110718,20150608,2011199,2015159,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8206. Painel Solar: 098AP0129    NE-80EJEA,Não
